행정구역,2023년09월_계_총인구수,2023년09월_계_연령구간인구수,2023년09월_계_0세,2023년09월_계_1세,2023년09월_계_2세,2023년09월_계_3세,2023년09월_계_4세,2023년09월_계_5세,2023년09월_계_6세,2023년09월_계_7세,2023년09월_계_8세,2023년09월_계_9세,2023년09월_계_10세,2023년09월_계_11세,2023년09월_계_12세,2023년09월_계_13세,2023년09월_계_14세,2023년09월_계_15세,2023년09월_계_16세,2023년09월_계_17세,2023년09월_계_18세,2023년09월_계_19세,2023년09월_계_20세,2023년09월_계_21세,2023년09월_계_22세,2023년09월_계_23세,2023년09월_계_24세,2023년09월_계_25세,2023년09월_계_26세,2023년09월_계_27세,2023년09월_계_28세,2023년09월_계_29세,2023년09월_계_30세,2023년09월_계_31세,2023년09월_계_32세,2023년09월_계_33세,2023년09월_계_34세,2023년09월_계_35세,2023년09월_계_36세,2023년09월_계_37세,2023년09월_계_38세,2023년09월_계_39세,2023년09월_계_40세,2023년09월_계_41세,2023년09월_계_42세,2023년09월_계_43세,2023년09월_계_44세,2023년09월_계_45세,2023년09월_계_46세,2023년09월_계_47세,2023년09월_계_48세,2023년09월_계_49세,2023년09월_계_50세,2023년09월_계_51세,2023년09월_계_52세,2023년09월_계_53세,2023년09월_계_54세,2023년09월_계_55세,2023년09월_계_56세,2023년09월_계_57세,2023년09월_계_58세,2023년09월_계_59세,2023년09월_계_60세,2023년09월_계_61세,2023년09월_계_62세,2023년09월_계_63세,2023년09월_계_64세,2023년09월_계_65세,2023년09월_계_66세,2023년09월_계_67세,2023년09월_계_68세,2023년09월_계_69세,2023년09월_계_70세,2023년09월_계_71세,2023년09월_계_72세,2023년09월_계_73세,2023년09월_계_74세,2023년09월_계_75세,2023년09월_계_76세,2023년09월_계_77세,2023년09월_계_78세,2023년09월_계_79세,2023년09월_계_80세,2023년09월_계_81세,2023년09월_계_82세,2023년09월_계_83세,2023년09월_계_84세,2023년09월_계_85세,2023년09월_계_86세,2023년09월_계_87세,2023년09월_계_88세,2023년09월_계_89세,2023년09월_계_90세,2023년09월_계_91세,2023년09월_계_92세,2023년09월_계_93세,2023년09월_계_94세,2023년09월_계_95세,2023년09월_계_96세,2023년09월_계_97세,2023년09월_계_98세,2023년09월_계_99세,2023년09월_계_100세 이상
전국  (0000000000),51370001 ,51370001 ,227847 ,254937 ,270289 ,288109 ,313084 ,339240 ,374071 ,426179 ,444248 ,441366 ,455124 ,484993 ,487198 ,459862 ,452685 ,480958 ,481270 ,444586 ,442350 ,480659 ,484065 ,508421 ,584526 ,632594 ,617892 ,648855 ,673248 ,691758 ,698381 ,710311 ,718860 ,721145 ,670134 ,647854 ,630139 ,614154 ,619148 ,636445 ,644894 ,684091 ,758906 ,823873 ,832208 ,844648 ,793352 ,745989 ,755379 ,747229 ,794787 ,872757 ,878112 ,877052 ,937935 ,894625 ,922689 ,895692 ,828671 ,813932 ,828155 ,761431 ,838696 ,813073 ,924891 ,892865 ,795891 ,734053 ,723255 ,655859 ,676284 ,551730 ,497125 ,529694 ,388894 ,418090 ,419377 ,406668 ,396508 ,286918 ,294942 ,291300 ,308287 ,323992 ,256673 ,227484 ,216074 ,185295 ,162086 ,138986 ,122145 ,95791 ,75235 ,61056 ,42730 ,36208 ,27603 ,19972 ,13894 ,8269 ,6052 ,3811 ,8853 
서울특별시  (1100000000),9407540 ,9407540 ,38101 ,41599 ,43518 ,44893 ,48097 ,51107 ,56215 ,64176 ,66545 ,66588 ,68791 ,73452 ,73667 ,70811 ,70182 ,75957 ,76605 ,71528 ,72968 ,85145 ,88965 ,95128 ,114431 ,130725 ,134291 ,147512 ,157700 ,164260 ,165915 ,169505 ,169721 ,167914 ,154238 ,145524 ,139088 ,132125 ,129417 ,129449 ,128551 ,132545 ,141799 ,149998 ,151352 ,151696 ,141877 ,131295 ,134730 ,132627 ,140149 ,152989 ,154654 ,157451 ,166643 ,157897 ,159261 ,151094 ,139108 ,134184 ,138870 ,130717 ,141481 ,135134 ,151553 ,151136 ,137487 ,129042 ,128405 ,117703 ,123829 ,101401 ,92397 ,96553 ,70066 ,78008 ,78177 ,76171 ,75999 ,56031 ,55814 ,53247 ,54490 ,56569 ,44137 ,37671 ,34905 ,29591 ,25447 ,21166 ,18331 ,14079 ,11132 ,8984 ,6319 ,5441 ,4430 ,3158 ,2286 ,1306 ,916 ,703 ,1505 
부산광역시  (2600000000),3300836 ,3300836 ,12731 ,14447 ,15151 ,16419 ,17874 ,20165 ,22307 ,25574 ,26525 ,26279 ,26597 ,28237 ,28146 ,25921 ,25362 ,26556 ,26432 ,24442 ,24904 ,27628 ,28710 ,30679 ,37007 ,40538 ,38551 ,39944 ,40754 ,41914 ,41590 ,42474 ,42991 ,43461 ,39937 ,39157 ,37740 ,36357 ,36478 ,37302 ,38214 ,41197 ,45962 ,50565 ,52540 ,53339 ,49378 ,45799 ,45282 ,44268 ,48090 ,52517 ,53119 ,53771 ,57045 ,55742 ,56915 ,56294 ,53042 ,52119 ,51945 ,49347 ,56692 ,56590 ,65216 ,63844 ,58196 ,55296 ,55938 ,51670 ,54275 ,44287 ,40727 ,42632 ,33555 ,34326 ,34414 ,33199 ,30792 ,21861 ,22920 ,22570 ,23550 ,23043 ,18765 ,16237 ,14882 ,11995 ,10401 ,8620 ,7462 ,5727 ,4321 ,3585 ,2486 ,1904 ,1598 ,1229 ,834 ,447 ,336 ,195 ,448 
대구광역시  (2700000000),2377801 ,2377801 ,9368 ,10734 ,11420 ,12781 ,14023 ,15529 ,17415 ,19957 ,20545 ,20383 ,20699 ,22430 ,22107 ,20890 ,20572 ,21973 ,22017 ,20715 ,20940 ,22831 ,23610 ,24460 ,28220 ,30600 ,28400 ,29065 ,30058 ,30518 ,30335 ,30302 ,30749 ,31061 ,28375 ,28134 ,27325 ,25508 ,26289 ,27043 ,27079 ,28795 ,32779 ,35919 ,36886 ,37412 ,35433 ,33392 ,34485 ,34726 ,37167 ,40726 ,41475 ,42042 ,44167 ,43205 ,44130 ,44397 ,41241 ,40007 ,40295 ,37461 ,40722 ,40163 ,44842 ,42453 ,38666 ,33266 ,34712 ,31619 ,32156 ,26133 ,25770 ,26889 ,20095 ,20415 ,21830 ,20303 ,18524 ,12235 ,13212 ,14531 ,15495 ,15309 ,12297 ,10880 ,10071 ,8526 ,7451 ,6356 ,5601 ,4272 ,3224 ,2749 ,1823 ,1384 ,1040 ,785 ,523 ,281 ,212 ,132 ,254 
인천광역시  (2800000000),2987918 ,2987918 ,13832 ,15813 ,16381 ,17608 ,19488 ,20204 ,22415 ,25279 ,26465 ,25924 ,26770 ,28356 ,29074 ,26945 ,26456 ,27931 ,28219 ,25729 ,25327 ,27383 ,27814 ,29015 ,32906 ,35973 ,35485 ,37783 ,40040 ,41181 ,42290 ,43675 ,45023 ,45488 ,42767 ,40607 ,39219 ,38023 ,37929 ,39430 ,39943 ,42091 ,46732 ,50611 ,51357 ,51913 ,48032 ,45151 ,45030 ,43891 ,47412 ,50935 ,51703 ,51570 ,54627 ,52414 ,54157 ,52782 ,48651 ,48453 ,50743 ,46880 ,51386 ,49297 ,54459 ,52672 ,46026 ,42682 ,40409 ,35856 ,36580 ,28938 ,25601 ,27087 ,18253 ,20781 ,20866 ,20100 ,20098 ,14720 ,14207 ,13754 ,14624 ,14851 ,11713 ,10244 ,9880 ,8582 ,7288 ,6499 ,5566 ,4416 ,3657 ,2909 ,2156 ,1774 ,1427 ,1000 ,736 ,457 ,341 ,192 ,509 
광주광역시  (2900000000),1422999 ,1422999 ,6284 ,7565 ,8137 ,8412 ,9274 ,10391 ,11333 ,12988 ,13458 ,13608 ,14151 ,15072 ,15115 ,14593 ,14438 ,15264 ,15555 ,14424 ,14287 ,15389 ,16044 ,16912 ,19210 ,20456 ,19498 ,19968 ,20288 ,20392 ,20286 ,19958 ,19744 ,19447 ,17649 ,16816 ,16037 ,15815 ,16213 ,16900 ,17261 ,19010 ,21492 ,23710 ,22861 ,23870 ,23139 ,21473 ,22184 ,22012 ,22834 ,25793 ,25406 ,25137 ,26804 ,25071 ,24950 ,25090 ,22566 ,22737 ,21630 ,19962 ,21852 ,19635 ,21952 ,22472 ,19625 ,17857 ,17156 ,14779 ,15752 ,12494 ,11388 ,12366 ,10361 ,10624 ,10865 ,10127 ,10306 ,7570 ,7520 ,6886 ,7218 ,8238 ,6273 ,5424 ,4925 ,4317 ,3788 ,3017 ,2717 ,2261 ,1640 ,1342 ,993 ,946 ,594 ,419 ,300 ,205 ,144 ,71 ,217 
대전광역시  (3000000000),1444595 ,1444595 ,7272 ,7860 ,8079 ,8088 ,8874 ,9519 ,10851 ,12176 ,12751 ,12566 ,13259 ,13725 ,14119 ,13297 ,13279 ,14348 ,14475 ,13457 ,13570 ,15158 ,15378 ,16492 ,19388 ,20831 ,20226 ,21271 ,21882 ,21916 ,21856 ,21764 ,21362 ,21166 ,19601 ,18833 ,17996 ,17602 ,17397 ,17789 ,17717 ,18540 ,20618 ,22382 ,22862 ,22933 ,21931 ,21142 ,21511 ,21351 ,22435 ,25188 ,25314 ,24572 ,26839 ,25179 ,26856 ,25665 ,22839 ,21263 ,22639 ,20038 ,21765 ,21945 ,25376 ,23724 ,20814 ,18948 ,18982 ,17582 ,17868 ,14591 ,12573 ,13326 ,9823 ,11059 ,10606 ,10046 ,9344 ,6931 ,7221 ,7243 ,7414 ,7941 ,6020 ,5127 ,5171 ,4487 ,3772 ,3286 ,2835 ,2301 ,1754 ,1492 ,982 ,852 ,657 ,499 ,318 ,185 ,146 ,93 ,209 
울산광역시  (3100000000),1104167 ,1104167 ,4916 ,5543 ,6155 ,6748 ,7275 ,8152 ,9148 ,10477 ,11009 ,10974 ,11178 ,11703 ,11678 ,10922 ,10824 ,11464 ,11314 ,10278 ,9949 ,10149 ,9901 ,10149 ,11428 ,12405 ,11733 ,12678 ,13425 ,13849 ,13882 ,14103 ,14294 ,14421 ,13614 ,13499 ,13409 ,12753 ,13150 ,13622 ,13754 ,15082 ,16948 ,18579 ,19053 ,19564 ,18006 ,16925 ,17024 ,16241 ,17587 ,19034 ,19387 ,19530 ,21251 ,20650 ,21631 ,21561 ,20462 ,20561 ,20433 ,18303 ,19730 ,19116 ,21646 ,19783 ,17699 ,16144 ,15450 ,13844 ,13933 ,11244 ,10239 ,10197 ,7950 ,7705 ,7516 ,7167 ,6342 ,4273 ,4509 ,4426 ,4867 ,4604 ,3439 ,3239 ,2763 ,2394 ,2012 ,1711 ,1522 ,1251 ,976 ,756 ,515 ,391 ,335 ,238 ,185 ,111 ,82 ,47 ,79 
세종특별자치시  (3600000000),385932 ,385932 ,2730 ,3265 ,3641 ,3761 ,4265 ,4565 ,5062 ,5559 ,5794 ,5519 ,5711 ,5835 ,5755 ,5359 ,5244 ,5321 ,4922 ,4484 ,3938 ,3827 ,3543 ,3368 ,3539 ,3661 ,3496 ,3507 ,3655 ,3980 ,4289 ,4738 ,5049 ,5488 ,5513 ,5633 ,5727 ,5984 ,6269 ,6391 ,6642 ,7001 ,7748 ,8784 ,8537 ,8626 ,8153 ,7336 ,7241 ,6722 ,6971 ,7259 ,6706 ,6339 ,6462 ,5749 ,5700 ,5329 ,4597 ,4221 ,4424 ,3944 ,4229 ,4029 ,4762 ,4288 ,3883 ,3444 ,3460 ,3191 ,3210 ,2566 ,2145 ,2345 ,1653 ,1853 ,1834 ,1584 ,1522 ,1082 ,1125 ,1140 ,1141 ,1253 ,1027 ,861 ,848 ,737 ,656 ,624 ,570 ,469 ,378 ,290 ,217 ,176 ,152 ,115 ,70 ,35 ,29 ,15 ,46 
경기도  (4100000000),13626339 ,13626339 ,68842 ,77838 ,81286 ,86115 ,93507 ,100562 ,110052 ,125087 ,130506 ,128178 ,131271 ,139984 ,139620 ,131550 ,129184 ,136911 ,135664 ,124636 ,123347 ,134183 ,131432 ,137214 ,156939 ,169709 ,168323 ,176796 ,181923 ,186833 ,190653 ,194840 ,199565 ,201829 ,190320 ,183009 ,180283 ,177538 ,178451 ,184137 ,186879 ,197208 ,218897 ,237509 ,240277 ,241717 ,226337 ,212050 ,213943 ,211238 ,222088 ,242349 ,241943 ,243110 ,256711 ,242749 ,248383 ,237304 ,217882 ,212626 ,216998 ,198374 ,214390 ,203611 ,227584 ,215925 ,190959 ,175728 ,166696 ,149930 ,152551 ,122534 ,109360 ,115385 ,78570 ,86989 ,87222 ,85896 ,85534 ,63863 ,63781 ,61409 ,63067 ,66351 ,53438 ,46886 ,44202 ,38488 ,33755 ,28709 ,25266 ,19751 ,15516 ,12537 ,8892 ,7721 ,5942 ,4273 ,2961 ,1832 ,1336 ,883 ,1927 
