행정구역,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율
전국  (1000000000),51370001 ,23900917 ,2.15,25592335 ,25777666 ,0.99
서울특별시  (1100000000),9407540 ,4475726 ,2.1,4552501 ,4855039 ,0.94
부산광역시  (2600000000),3300836 ,1565115 ,2.11,1609650 ,1691186 ,0.95
대구광역시  (2700000000),2377801 ,1092536 ,2.18,1168679 ,1209122 ,0.97
인천광역시  (2800000000),2987918 ,1344029 ,2.22,1494725 ,1493193 ,1
광주광역시  (2900000000),1422999 ,656061 ,2.17,702748 ,720251 ,0.98
대전광역시  (3000000000),1444595 ,680653 ,2.12,720520 ,724075 ,1
울산광역시  (3100000000),1104167 ,489298 ,2.26,567314 ,536853 ,1.06
세종특별자치시  (3600000000),385932 ,160479 ,2.4,192246 ,193686 ,0.99
경기도  (4100000000),13626339 ,5969573 ,2.28,6855626 ,6770713 ,1.01
강원특별자치도  (5100000000),1530712 ,760903 ,2.01,770130 ,760582 ,1.01
충청북도  (4300000000),1594326 ,779770 ,2.04,810835 ,783491 ,1.03
충청남도  (4400000000),2127630 ,1032336 ,2.06,1089884 ,1037746 ,1.05
전라북도  (4500000000),1758661 ,861647 ,2.04,875353 ,883308 ,0.99
전라남도  (4600000000),1807295 ,912090 ,1.98,910810 ,896485 ,1.02
경상북도  (4700000000),2559924 ,1282575 ,2,1292868 ,1267056 ,1.02
경상남도  (4800000000),3257009 ,1524861 ,2.14,1639932 ,1617077 ,1.01
제주특별자치도  (5000000000),676317 ,313265 ,2.16,338514 ,337803 ,1
